molecular weight,molecular formula,strength
412.04305,C20H12O10,6223561.0
412.06418,C17H16O12,16498241.0
412.079435,C21H16O9,5414308.0
412.100565,C18H20O11,37861620.0
412.11582,C22H20O8,4520214.0
412.13695,C19H24O10,45635796.0
412.1733350000001,C20H28O9,16798418.0
412.13695,C19H24O10,3680201.0
412.13695,C19H24O10,3680201.0
414.022315,C19H10O11,4676633.0
414.0587,C20H14O10,9187986.0
414.07983,C17H18O12,19419256.0
414.095085,C21H18O9,7788408.0
414.116215,C18H22O11,34210048.0
414.13147,C22H22O8,7000562.0
414.1526,C19H26O10,22511010.0
414.167855,C23H26O7,4853771.0
414.188985,C20H30O9,4162949.0
414.116215,C18H22O11,3637635.0
414.116215,C18H22O11,3637635.0
416.037965,C19H12O11,10196983.0
416.07435,C20H16O10,14869916.0
416.09548,C17H20O12,13847855.0
416.110735,C21H20O9,14198228.0
416.131865,C18H24O11,16122898.0
416.14712,C22H24O8,10846613.0
416.1682500000001,C19H28O10,5786115.0
416.183505,C23H28O7,6070447.0
418.01723,C18H10O12,3870357.0
418.053615,C19H14O11,17270116.0
418.09,C20H18O10,20649838.0
418.11113,C17H22O12,5150969.0
418.126385,C21H22O9,18645656.0
418.16277,C22H26O8,15515041.0
418.199155,C23H30O7,5532056.0
420.03288,C18H12O12,8760824.0
420.069265,C19H16O11,26879332.0
420.10565,C20H20O10,28804260.0
420.142035,C21H24O9,27608936.0
420.17842,C22H28O8,15755815.0
422.04853,C18H14O12,17854140.0
422.084915,C19H18O11,29561968.0
422.1213,C20H22O10,37404611.99999999
422.157685,C21H26O9,32789362.0
422.19407,C22H30O8,10471884.0
424.06418,C18H16O12,20699846.0
424.079435,C22H16O9,3739113.0
424.100565,C19H20O11,34327491.99999999
424.13695,C20H24O10,43603468.0
424.1733350000001,C21H28O9,20647388.0
424.20972,C22H32O8,3880648.0
424.13695,C20H24O10,3864785.0
424.13695,C20H24O10,3864785.0
426.043445,C17H14O13,5805875.0
426.0587,C21H14O10,6153647.0
426.07983,C18H18O12,25584576.0
426.095085,C22H18O9,4620844.000000001
426.116215,C19H22O11,43092284.0
426.13147,C23H22O8,3839747.0
426.1526,C20H26O10,37730392.0
426.188985,C21H30O9,9051746.0
426.07983,C18H18O12,4927499.0
426.07983,C18H18O12,4927499.0
426.116215,C19H22O11,3987450.0
426.116215,C19H22O11,3987450.0
428.037965,C20H12O11,7706528.0
428.059095,C17H16O13,8431252.000000002
428.07435,C21H16O10,9494058.0
428.09548,C18H20O12,24809290.0
428.110735,C22H20O9,8538393.0
428.131865,C19H24O11,32657624.0
428.14712,C23H24O8,6044514.0
428.1682500000001,C20H28O10,15305135.0
428.183505,C24H28O7,3630801.0
430.01723,C19H10O12,4038934.0
430.053615,C20H14O11,13978643.0
430.074745,C17H18O13,9157417.0
430.09,C21H18O10,13694982.0
430.11113,C18H22O12,18610572.0
430.126385,C22H22O9,12012897.0
430.147515,C19H26O11,14652274.0
430.16277,C23H26O8,9613876.0
430.1839,C20H30O10,3983754.0
430.199155,C24H30O7,3862543.0
432.03288,C19H12O12,9208917.0
432.069265,C20H16O11,21400484.0
432.10565,C21H20O10,20726516.0
432.1267800000001,C18H24O12,7260818.0
432.142035,C22H24O9,18820304.0
432.17842,C23H28O8,10734002.0
434.04853,C19H14O12,18172692.0
434.084915,C20H18O11,27665684.0
434.1213,C21H22O10,26795162.0
434.157685,C22H26O9,25223584.0
434.19407,C23H30O8,9905218.000000002
436.027795,C18H12O13,4946305.0
436.06418,C19H16O12,25081528.0
436.100565,C20H20O11,30346886.0
436.13695,C21H24O10,37619836.0
436.1733350000001,C22H28O9,23998638.0
436.20972,C23H32O8,6317763.0
438.043445,C18H14O13,10684607.0
438.07983,C19H18O12,27789170.0
438.095085,C23H18O9,3659000.0
438.116215,C20H22O11,38522396.00000001
