reasult,count
38.070661,1.0
119.864573,1.0
96.184429,4.0
104.137874,1.0
-510.886159,1.0
302.31848,14.0
-35.025881,1.0
-55.80475,1.0
-64.81545,1.0
-95.900091,1.0
-3.854733,1.0
151.10624,1.0
-175.963558,1.0
-87.068414,1.0
47.008122,2.0
-42.921811,1.0
-26.08842,2.0
77.072831,2.0
183.24161,1.0
-105.776622,1.0
224.446713,1.0
392.4382,1.0
45.98435,2.0
184.24023,4.0
46.062995,1.0
-27.9374,6.0
-158.70206,1.0
-41.814252,1.0
-78.010565,22.0
-73.927625,2.0
390.407295,2.0
250.148382,1.0
-99.961901,2.0
-36.765922,1.0
82.217048,1.0
202.374338,1.0
-12.015255,2.0
-48.936398,1.0
58.314319,1.0
-81.972466,1.0
115.001792,1.0
282.343905,1.0
75.060552,1.0
178.087496,1.0
-487.634122,1.0
-150.104465,8.0
-337.719428,1.0
-28.020067,1.0
40.013541,1.0
-251.198426,1.0
-190.084125,2.0
32.131999,4.0
85.183049,2.0
14.343115,1.0
268.330759,3.0
54.11972,46.0
87.129951,18.0
-342.731842,1.0
-239.900958,1.0
-140.832544,1.0
115.404713,1.0
-6.011432,1.0
-8.734622,1.0
-14.098968,1.0
-11.121768,1.0
69.881937,2.0
141.089743,1.0
198.288894,7.0
-63.751453,3.0
-7.826531,1.0
-131.972861,1.0
88.14633,2.0
-302.655644,1.0
-87.92802,2.0
-26.740949,1.0
-476.401164,1.0
-33.914951,3.0
111.246968,1.0
323.292326,1.0
132.11503,5.0
158.236464,3.0
-321.724513,1.0
34.285327,1.0
43.070722,2.0
46.132394,2.0
-37.842454,3.0
-46.993518,1.0
190.444604,1.0
-176.1565,2.0
106.266701,1.0
-136.058305,1.0
86.417522,1.0
-136.215729,1.0
-333.970948,2.0
-510.86014,1.0
219.172211,2.0
23.984745,1.0
87.032029,1.0
30.260553,1.0
-81.886428,1.0
-553.891973,1.0
185.23613,1.0
-154.98297,1.0
-108.253828,1.0
-18.581945,1.0
-91.91706,1.0
-212.529182,1.0
-408.733894,1.0
-285.625724,1.0
-124.037175,3.0
-281.23885,1.0
-62.070661,1.0
-117.056513,1.0
-410.836702,1.0
-88.507262,1.0
-225.630613,1.0
-156.70754,1.0
-286.250795,2.0
214.26605,35.0
172.236859,1.0
-85.909866,1.0
270.498475,1.0
14.069794,1.0
-138.076809,1.0
76.019416,1.0
-53.774496,1.0
43.972071,1.0
9.094234,3.0
-132.126445,1.0
-49.885365,2.0
272.380685,4.0
-292.16746,1.0
-20.753032,1.0
-159.845353,1.0
-25.960639,3.0
36.076141,1.0
-11.705765,1.0
277.214076,1.0
-118.012475,1.0
47.157502,1.0
-117.933577,2.0
-77.835382,1.0
234.32865,3.0
-57.79927,1.0
92.853674,1.0
408.360345,1.0
55.100365,1.0
-254.15181,5.0
-60.993913,1.0
90.241276,2.0
312.142902,1.0
-363.742073,1.0
-264.596867,1.0
55.042199,2.0
-22.002109,2.0
-337.693409,1.0
-114.21362,1.0
-5.749344,1.0
-258.273639,1.0
-228.20893,1.0
47.236329,2.0
73.031634,1.0
-15.010899,2.0
-10.922084,1.0
43.140121,3.0
188.231774,1.0
-8.022844,1.0
-67.709983,1.0
167.119781,1.0
220.501451,1.0
-86.716448,1.0
-36.59251,1.0
-530.484499,1.0
220.367144,1.0
1.068019,9.0
-213.903067,1.0
-200.557705,1.0
110.145935,29.0
-76.071056,1.0
252.502514,1.0
80.890059,1.0
194.298001,1.0
-49.982636,6.0
3.043913,1.0
248.329045,1.0
-51.983682,1.0
21.054478,2.0
-408.411334,1.0
124.055801,1.0
102.122224,3.0
104.399962,1.0
148.440565,1.0
-42.988055,1.0
156.191171,1.0
289.286846,10.0
-338.303225,1.0
17.131682,1.0
-31.199623,1.0
58.006347,1.0
-151.026475,1.0
280.367144,1.0
-68.150625,1.0
-339.709059,1.0
-47.073499,1.0
-147.873876,1.0
-231.005757,2.0
-637.985873,1.0
-123.233748,1.0
-81.067746,1.0
150.06808,4.0
-154.029981,1.0
73.894611,1.0
190.084992,1.0
-184.252114,1.0
274.320194,2.0
90.365686,1.0
236.496366,1.0
-179.835183,2.0
-40.012674,2.0
-33.704503,2.0
-131.993474,1.0
143.984745,2.0
241.29873,1.0
-490.543728,1.0
-54.010565,18.0
46.135765,3.0
13.997891,1.0
-83.915346,1.0
51.010899,1.0
209.224246,4.0
66.150747,1.0
96.369509,1.0
61.913237,1.0
330.240625,2.0
232.472928,1.0
11.218823,2.0
340.42803,4.0
82.093505,1.0
-204.743925,1.0
234.543589,1.0
-205.099262,1.0
210.30752,9.0
-58.00548,29.0
170.260965,6.0
72.181925,2.0
44.390065,1.0
145.121043,2.0
-39.858104,1.0
90.19249,3.0
-67.009185,1.0
6.153601,1.0
-13.945384,2.0
-138.035066,1.0
165.125261,4.0
-73.852351,1.0
-555.881604,1.0
-45.130619,1.0
-29.152994,1.0
148.122696,1.0
31.089817,1.0
106.135765,31.0
264.106517,1.0
68.048212,3.0
25.056317,1.0
-67.786124,1.0
112.367795,1.0
-107.881465,1.0
58.147649,2.0
-36.875728,3.0
144.296088,3.0
-90.08921,2.0
-3.120054,1.0
78.373548,1.0
59.50139,1.0
-102.152734,1.0
-39.806464,1.0
-82.00548,33.0
-24.090529,1.0
282.386165,3.0
158.185691,1.0
140.22927,25.0
-49.979265,31.0
212.19876,2.0
107.119781,11.0
-19.042199,1.0
-90.8311,1.0
4.945917,1.0
244.33413,2.0
186.147592,1.0
65.205103,1.0
28.19797,2.0
-187.891257,1.0
-42.224637,1.0
-64.013541,1.0
8.959927,1.0
-5.673203,1.0
-35.844563,1.0
-155.755887,1.0
93.167004,1.0
284.181001,1.0
-36.123543,1.0
-100.209385,1.0
3.286724,1.0
-515.985478,1.0
1.020401,7.0
-24.715402,1.0
-533.938528,1.0
-165.845552,1.0
83.290473,1.0
67.870127,1.0
-209.036662,1.0
-125.977551,2.0
-195.56417,1.0
41.97418,3.0
-74.880145,1.0
200.22927,1.0
32.977217,1.0
-51.97966,13.0
-220.966865,1.0
232.36464,1.0
88.298396,2.0
56.011827,1.0
-17.916665,6.0
2.712824,1.0
-200.10486,6.0
15.101428,2.0
-174.06808,2.0
-82.023239,3.0
8.220024,1.0
-84.11503,1.0
-399.7731,1.0
61.892576,1.0
221.187861,4.0
122.145935,15.0
-156.006742,1.0
188.108231,1.0
246.313395,3.0
324.193675,2.0
-89.767103,3.0
-301.95463,1.0
-33.715267,1.0
62.284733,2.0
-42.725967,1.0
216.070132,1.0
-19.901805,2.0
81.151749,1.0
-182.540614,1.0
-7.109094,1.0
-113.751848,1.0
174.459586,1.0
120.23944,2.0
-41.770474,1.0
-163.884913,1.0
-9.89045,2.0
-411.736715,1.0
-83.749543,1.0
111.166336,2.0
-152.508052,1.0
-80.005085,2.0
-225.604594,1.0
63.955159,1.0
148.1252,4.0
78.013936,1.0
58.358097,1.0
-412.77172,1.0
108.078645,1.0
96.024501,2.0
-107.902078,1.0
110.149306,1.0
-133.936354,1.0
130.135765,22.0
90.420697,3.0
90.21362,5.0
88.194599,1.0
150.017307,2.0
-71.088754,1.0
-16.720214,1.0
-260.96178,1.0
168.329969,1.0
