mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,NSP,abserrPpm,sumintens,relativeintens,avemass,dbe_o,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,2252961,200.986344,200.986318,-0.026,-0.132,C7 H5 O5 S,7,5,0,5,1,6,0.857142857,0.714285714,16,1,0.132,61527170297,3.66173E-05,360.8341791,0,0.428571429,5,0.857142857,0.238105118,201,1.574188971,199,0.131580603,201,0.050214271,201,0.032788557,201
218.79,5642175,201.022704,201.022704,0,0,C8 H9 O4 S,8,9,0,4,1,10,1.25,0.5,18,1,0,61527170297,9.17022E-05,360.8341791,0,0.2,4,0,0.201759747,201,1.538085481,199,0.095215947,201,0.086611839,201,0.06918297,201
-1000,2861005,201.04047,201.040462,-0.008,-0.04,C8 H9 O6,8,9,0,6,0,10,1.25,0.75,18,0,0.04,61527170297,4.64999E-05,360.8341791,-2,0.2,4,0.25,0.184021576,201,1.520465359,199,0.077468364,201,0.104375484,201,0.086945075,201
221.07,12846059,201.076837,201.076847,0.01,0.05,C9 H13 O5,9,13,0,5,0,14,1.555555556,0.555555556,20,0,0.05,61527170297,0.000208787,360.8341791,-2,0.076923077,3,-0.444444444,0.147677204,201,1.484362861,200,0.041104707,201,0.140772052,201,0.123338488,201
642.05,2391540,201.088125,201.08808,-0.045,-0.222,C8 H13 N2 O4,8,13,2,4,0,14,1.75,0.5,20,2,0.222,61527170297,3.88697E-05,360.8341791,-1,-0.25,3,0,0.136456747,201,1.473217076,200,0.029878296,201,0.152008623,201,0.134574085,201
4.85,99064840,201.113223,201.113233,0.01,0.049,C10 H17 O4,10,17,0,4,0,18,1.8,0.4,22,0,0.049,61527170297,0.001610099,360.8341791,-2,0,2,-1,0.111331833,201,1.44825937,200,0.004740051,201,0.177169619,201,0.159732901,201
-1000,4417574,201.14961,201.149618,0.009,0.043,C11 H21 O3,11,21,0,3,0,22,2,0.272727273,24,0,0.043,61527170297,7.17988E-05,360.8341791,-2,-0.052631579,1,-1.454545455,0.07498746,201,1.412156872,200,0.031623605,201,0.213566187,201,0.196126314,201
374.87,3028729,202.035763,202.035711,-0.053,-0.261,C7 H8 N O6,7,8,1,6,0,9,1.285714286,0.857142857,17,1,0.261,61527170297,4.92259E-05,360.8341791,-2,0,4,0.857142857,0.18988388,202,1.532943715,200,0.082803177,202,0.099940887,202,0.082424189,202
94.46,12773125,202.050957,202.050967,0.009,0.046,C11 H8 N O3,11,8,1,3,0,9,0.818181818,0.272727273,25,1,0.046,61527170297,0.000207601,360.8341791,5,0.647058824,8,0,0.174644915,202,1.517806167,200,0.067556126,202,0.115201738,202,0.097683717,202
557.26,26406678,202.072112,202.072096,-0.016,-0.079,C8 H12 N O5,8,12,1,5,0,13,1.625,0.625,19,1,0.079,61527170297,0.000429187,360.8341791,-2,-0.111111111,3,0,0.153539508,202,1.496841217,201,0.04643952,202,0.136337455,202,0.118817602,202
