mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,NSP,abserrPpm,sumintens,relativeintens,avemass,dbe_o,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,4653654,199.024803,199.024812,0.009,0.044,C27H26O11,8,7,0,6,0,8,1,0.75,18,0,0.044,74423097888,0.000178185,417.4783194,-1,0.4,5,0.5,0.197420883,199,1.520465359,197,0.091935983,199,0.088084682,199,0.070829032,199
6.89,5524044,199.061187,199.061197,0.01,0.049,C26H22O12,9,11,0,5,0,12,1.333333333,0.555555556,20,0,0.049,74423097888,0.001091162,417.4783194,-1,0.230769231,4,-0.222222222,0.161076511,199,1.484362861,198,0.055572327,199,0.124481249,199,0.107222445,199
-1000,6858762,199.090895,199.091058,0.163,0.819,C25H16O13,9,15,2,1,1,16,1.777777778,0.111111111,22,3,0.819,74423097888,2.81E-05,417.4783194,2,-0.090909091,3,-0.666666667,0.131248854,199,1.454733709,198,0.025728843,199,0.154351742,199,0.137090349,199
-1000,6423732,199.097543,199.097583,0.04,0.201,C27H30O10,10,15,0,4,0,16,1.6,0.4,22,0,0.201,74423097888,2.70E-05,417.4783194,-1,0.125,3,-0.8,0.12473114,199,1.44825937,198,0.019207671,199,0.160878817,199,0.143616857,199
-1000,8150184,201.003974,201.004076,0.102,0.506,C26H26O11,7,5,0,7,0,6,0.857142857,1,16,0,0.506,74423097888,2.71E-05,417.4783194,-2,0.428571429,5,1.142857143,0.220366947,201,1.556568849,199,0.11383302,201,0.067977917,201,0.050550663,201
-1000,5913148,201.015413,201.015309,-0.104,-0.517,C26H24O11,6,5,2,6,0,6,1,1,16,2,0.517,74423097888,3.14E-05,417.4783194,-1,0,5,2,0.20914649,201,1.545423065,199,0.102606609,201,0.079214488,201,0.06178626,201
-1000,7344688,201.040448,201.040462,0.014,0.069,C25H20O12,8,9,0,6,0,10,1.25,0.75,18,0,0.069,74423097888,0.000267668,417.4783194,-2,0.2,4,0.25,0.184021576,201,1.520465359,199,0.077468364,201,0.104375484,201,0.086945075,201
-1000,8800999,201.055711,201.055718,0.007,0.033,C26H28O10,12,9,0,3,0,10,0.833333333,0.25,26,0,0.033,74423097888,3.12E-05,417.4783194,5,0.619047619,8,-0.333333333,0.168782611,201,1.50532781,199,0.062221313,201,0.119636334,201,0.102204603,201
7.92,17799886,201.076838,201.076847,0.009,0.044,C24H20O12,9,13,0,5,0,14,1.555555556,0.555555556,20,0,0.044,74423097888,0.000269485,417.4783194,-2,0.076923077,3,-0.444444444,0.147677204,201,1.484362861,200,0.041104707,201,0.140772052,201,0.123338488,201
-1000,7872536,203.001934,203.001968,0.034,0.168,C25H22O11,7,7,0,5,1,8,1.142857143,0.714285714,16,1,0.168,74423097888,4.66E-05,417.4783194,-1,0.142857143,4,0.571428571,0.224705811,203,1.574188971,201,0.117112983,203,0.066505074,203,0.0489046,203
549.95,11962379,203.034993,203.034982,-0.011,-0.052,C24H18O12,11,7,0,4,0,8,0.727272727,0.363636364,24,0,0.052,74423097888,7.85E-05,417.4783194,4,0.666666667,8,0,0.191728675,203,1.5414313,201,0.084118349,203,0.099529569,203,0.081926233,203
-1000,5008539,203.056094,203.056112,0.018,0.088,C23H27N2O8P,8,11,0,6,0,12,1.5,0.75,18,0,0.088,74423097888,0.000187363,417.4783194,-3,0,3,0,0.170622269,203,1.520465359,201,0.063000744,203,0.120666287,203,0.103061119,203
211.15,5002886,203.071387,203.071368,-0.019,-0.094,C26H30O9,12,11,0,3,0,12,1,0.25,26,0,0.094,74423097888,7.97E-05,417.4783194,4,0.523809524,7,-0.5,0.155383304,203,1.50532781,201,0.047753693,203,0.135927137,203,0.118320646,203
-1000,8062584,203.092386,203.092497,0.112,0.549,C25H26O10,9,15,0,5,0,16,1.777777778,0.555555556,20,0,0.549,74423097888,3.39E-05,417.4783194,-3,-0.076923077,2,-0.666666667,0.134277896,203,1.484362861,202,0.026637088,203,0.157062854,203,0.139454532,203
154.25,9032502,205.014248,205.014247,-0.002,-0.008,C24H20O11,10,5,0,5,0,6,0.6,0.5,22,0,0.008,74423097888,0.000107416,417.4783194,3,0.733333333,8,0.4,0.21467374,205,1.577533798,203,0.106014387,205,0.079423804,205,0.061648864,205
-1000,12084007,205.035378,205.035376,-0.002,-0.01,C23H16O12,7,9,0,7,0,10,1.428571429,1,16,0,0.01,74423097888,7.48E-05,417.4783194,-4,-0.142857143,3,0.571428571,0.193568333,205,1.556568849,203,0.084897781,205,0.100559522,205,0.08278275,205
75.04,4357595,205.050626,205.050632,0.006,0.031,C22H25N2O8P,11,9,0,4,0,10,0.909090909,0.363636364,24,0,0.031,74423097888,0.000504863,417.4783194,3,0.555555556,7,-0.181818182,0.178329368,205,1.5414313,203,0.06965073,205,0.115820372,205,0.098042277,205
-1000,6831811,205.071697,205.071762,0.065,0.316,C25H28O9,8,13,0,6,0,14,1.75,0.75,18,0,0.316,74423097888,3.58E-05,417.4783194,-4,-0.2,2,-0.25,0.157222961,205,1.520465359,203,0.048533125,205,0.136957089,205,0.119177163,205
