Source,Target,Weight,colour
C17H16O8N2,C21H24O10N2,1,1
C18H32O6S1,C22H40O8S1,1,1
C19H28O4N4,C23H36O6N4,1,1
C18H19O8N1,C22H27O10N1,1,1
C17H19O7N3,C21H27O9N3,1,1
C16H19O6N5,C20H27O8N5,1,1
C16H18O7N4,C20H26O9N4,1,1
C18H26O5N4,C22H34O7N4,1,1
C18H21O8N1,C22H29O10N1,1,1
C17H24O6N4,C21H32O8N4,1,1
C16H23O6N5,C20H31O8N5,1,1
C20H22O4N4,C24H30O6N4,1,1
C17H26O6N4,C21H34O8N4,1,1
C16H21O6N3S1,C20H29O8N3S1,1,1
C15H20O8N4,C19H28O10N4,1,1
C17H28O6N4,C21H36O8N4,1,1
C19H23O4N5,C23H31O6N5,1,1
C19H22O5N4,C23H30O7N4,1,1
C15H21O9N3,C19H29O11N3,1,1
C19H25O4N5,C23H33O6N5,1,1
C18H16O8N2,C22H24O10N2,1,1
C18H20O6N4,C22H28O8N4,1,1
C19H24O5N4,C23H32O7N4,1,1
C18H19O7N3,C22H27O9N3,1,1
C17H19O6N5,C21H27O8N5,1,1
C18H23O5N5,C22H31O7N5,1,1
C18H18O8N2,C22H26O10N2,1,1
C18H22O6N4,C22H30O8N4,1,1
C19H26O5N4,C23H34O7N4,1,1
C18H25O5N5,C22H33O7N5,1,1
C17H16O9N2,C21H24O11N2,1,1
C17H23O6N5,C21H31O8N5,1,1
C16H18O8N4,C20H26O10N4,1,1
C17H22O7N4,C21H30O9N4,1,1
C16H23O7N5,C20H31O9N5,1,1
C16H22O8N4,C20H30O10N4,1,1
C18H30O6N4,C22H38O8N4,1,1
C19H20O6N4,C23H28O8N4,1,1
C21H28O4N4,C25H36O6N4,1,1
C19H23O5N5,C23H31O7N5,1,1
C20H27O4N5,C24H35O6N5,1,1
C19H22O6N4,C23H30O8N4,1,1
C20H26O5N4,C24H34O7N4,1,1
C19H25O5N5,C23H33O7N5,1,1
C18H20O7N4,C22H28O9N4,1,1
C19H24O6N4,C23H32O8N4,1,1
C20H28O5N4,C24H36O7N4,1,1
C17H19O7N5,C21H27O9N5,1,1
C18H18O9N2,C22H26O11N2,1,1
C18H22O7N4,C22H30O9N4,1,1
C18H19O7N5,C22H27O9N5,1,1
C17H26O12N2,C21H34O14N2,1,1
C33H46O6S2,C37H54O8S2,1,1
C7H10O5,C12H20O8,1,2
C10H17O3N1,C15H27O6N1,1,2
C9H15O4N1,C14H25O7N1,1,2
C11H17O4N1,C16H27O7N1,1,2
C8H10O6S1,C13H20O9S1,1,2
C12H12O5,C17H22O8,1,2
C11H17O3N3,C16H27O6N3,1,2
C13H21O3N1,C18H31O6N1,1,2
C11H12O6,C16H22O9,1,2
C9H7O7N1,C14H17O10N1,1,2
C11H15O5N1,C16H25O8N1,1,2
C12H19O4N1,C17H29O7N1,1,2
C11H19O3N3,C16H29O6N3,1,2
C13H23O3N1,C18H33O6N1,1,2
C10H13O6N1,C15H23O9N1,1,2
C11H17O5N1,C16H27O8N1,1,2
C10H12O7,C15H22O10,1,2
C10H16O5N2,C15H26O8N2,1,2
C11H19O5N1,C16H29O8N1,1,2
C9H10O8,C14H20O11,1,2
C10H14O7,C15H24O10,1,2
C9H16O4N2S1,C14H26O7N2S1,1,2
C14H19O3N1,C19H29O6N1,1,2
C13H19O4N1,C18H29O7N1,1,2
C14H23O3N1,C19H33O6N1,1,2
C12H17O5N1,C17H27O8N1,1,2
C13H21O4N1,C18H31O7N1,1,2
C12H21O3N3,C17H31O6N3,1,2
C14H25O3N1,C19H35O6N1,1,2
C11H12O7,C16H22O10,1,2
C11H15O6N1,C16H25O9N1,1,2
C10H15O5N3,C15H25O8N3,1,2
C12H19O5N1,C17H29O8N1,1,2
C13H23O4N1,C18H33O7N1,1,2
C11H14O7,C16H24O10,1,2
C10H12O8,C15H22O11,1,2
C9H10O7S1,C14H20O10S1,1,2
C14H19O4N1,C19H29O7N1,1,2
C15H23O3N1,C20H33O6N1,1,2
C13H17O5N1,C18H27O8N1,1,2
C14H21O4N1,C19H31O7N1,1,2
C15H25O3N1,C20H35O6N1,1,2
C12H15O6N1,C17H25O9N1,1,2
C13H19O5N1,C18H29O8N1,1,2
C14H23O4N1,C19H33O7N1,1,2
C15H27O3N1,C20H37O6N1,1,2
C11H13O7N1,C16H23O10N1,1,2
C12H17O6N1,C17H27O9N1,1,2
C11H17O5N3,C16H27O8N3,1,2
C13H21O5N1,C18H31O8N1,1,2
C11H12O8,C16H22O11,1,2
C13H23O5N1,C18H33O8N1,1,2
C11H14O8,C16H24O11,1,2
C15H19O4N1,C20H29O7N1,1,2
C16H23O3N1,C21H33O6N1,1,2
C13H13O6N1,C18H23O9N1,1,2
C15H21O4N1,C20H31O7N1,1,2
C12H11O7N1,C17H21O10N1,1,2
C13H15O6N1,C18H25O9N1,1,2
C15H23O4N1,C20H33O7N1,1,2
